"Country","combined figures (kg/capita/year)","Household estimate (kg/capita/year)","Household estimate (tonnes/year)","Retail estimate (kg/capita/year)","Retail estimate (tonnes/year)","Food service estimate (kg/capita/year)","Food service estimate (tonnes/year)","M49 code","Region","Source"
"AFGHANISTAN",126,82,3109153,16,594982,28,1051783,4,"SOUTHERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2151"
"ALBANIA",127,83,238492,16,45058,28,79651,8,"SOUTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2160"
"ALGERIA",135,91,3918529,16,673360,28,1190335,12,"NORTHERN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2107"
"ANDORRA",123,84,6497,13,988,26,1971,20,"SOUTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2161"
"ANGOLA",144,100,3169523,16,497755,28,879908,24,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2176"
"ANTIGUA AND BARBUDA",113,74,7178,13,1244,26,2483,28,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2046"
"ARGENTINA",116,72,3243563,16,700380,28,1238100,32,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2047"
"ARMENIA",137,93,275195,16,46259,28,81775,51,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2227"
"ARUBA",113,74,7858,13,1362,26,2718,533,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2048"
"AUSTRALIA",133,102,2563110,9,238248,22,546340,36,"AUSTRALIA AND NEW ZEALAND","https://www.unep.org/resources/report/unep-food-waste-index-report-2021"
"AUSTRIA",76,39,349249,9,77289,28,254191,40,"WESTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2245"
"AZERBAIJAN",137,93,934872,16,157148,28,277800,31,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2228"
"BAHAMAS",113,74,28792,13,4990,26,9960,44,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2049"
"BAHRAIN",171,132,216161,13,21026,26,41966,48,"WESTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2229"
"BANGLADESH",84,65,10618233,16,2550080,3,544436,50,"SOUTHERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2152"
"BARBADOS",113,74,21215,13,3677,26,7339,52,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2050"
"BELARUS",112,68,646356,16,147838,28,261341,112,"EASTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2035"
"BELGIUM",80,50,576036,10,112100,20,227371,56,"WESTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2246"
"BELIZE",97,53,20564,16,6106,28,10794,84,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2051"
"BENIN",144,100,1175297,16,184573,28,326280,204,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2177"
"BERMUDA",113,74,4606,13,801,26,1598,60,"NORTHERN AMERICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2114"
"BHUTAN",123,79,60000,16,11935,28,21098,64,"SOUTHERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2153"
"BOLIVIA (PLURIN. STATE OF)",124,80,922012,16,180068,28,318315,68,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2052"
"BOSNIA AND HERZEGOVINA",127,83,273269,16,51628,28,91266,70,"SOUTHERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2162"
"BOTSWANA",136,92,211802,16,36030,28,63693,72,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2178"
"BRAZIL",104,60,12578308,16,3300862,28,5835112,76,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2054"
"BRITISH VIRGIN ISLANDS",113,74,2218,13,384,26,767,92,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2055"
"BRUNEI DARUSSALAM",119,80,34739,13,5551,26,11080,96,"SOUTH-EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2140"
"BULGARIA",112,68,478667,16,109483,28,193539,100,"EASTERN EUROPE","https://www.unep.org/resources/report/unep-food-waste-index-report-2036"
"BURKINA FASO",147,103,2086893,16,317831,28,561848,854,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2179"
"BURUNDI",147,103,1184127,16,180341,28,318799,108,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2180"
"CABO VERDE",144,100,54765,16,8601,28,15204,132,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2181"
"CAMBODIA",130,86,1423397,16,257853,28,455820,116,"SOUTH-EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2141"
"CAMEROON",144,100,2577064,16,404713,28,715433,120,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2182"
"CANADA",118,79,2938321,13,479284,26,956615,124,"NORTHERN AMERICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2115"
"CAYMAN ISLANDS",113,74,4797,13,831,26,1660,136,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2056"
"CENTRAL AFRICAN REPUBLIC",147,103,487305,16,74216,28,131196,140,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2183"
"CHAD",147,103,1637656,16,249413,28,440901,148,"SUB-SAHARAN AFRICA","https://www.unep.org/resources/report/unep-food-waste-index-report-2184"
"CHILE",113,74,1400946,13,242800,26,484611,152,"LATIN AMERICA AND THE CARIBBEAN","https://www.unep.org/resources/report/unep-food-waste-index-report-2057"
"CHINA",126,64,91646213,16,22424705,46,65377741,156,"EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2028"
"CHINA, HONG KONG SAR",110,71,530985,13,95267,26,190147,344,"EASTERN ASIA","https://www.unep.org/resources/report/unep-food-waste-index-report-2029"
